article_pubyear,publisher,collaboration_status,n_items
2020,Elsevier,international-collaboration,4187
2017,Non-Elsevier,international-collaboration,14310
2014,Non-Elsevier,international-collaboration,11490
2019,Non-Elsevier,international-collaboration,14280
2018,Elsevier,deal-collaboration,5829
2019,Elsevier,national-collaboration,984
2012,Non-Elsevier,international-collaboration,10200
2017,Non-Elsevier,deal-collaboration,19309
2013,Non-Elsevier,deal-collaboration,17168
2017,Elsevier,deal-collaboration,6356
2016,Non-Elsevier,deal-collaboration,19349
2020,Elsevier,national-collaboration,1052
2016,Non-Elsevier,international-collaboration,13165
2012,Elsevier,international-collaboration,2888
2013,Elsevier,deal-collaboration,5869
2013,Non-Elsevier,international-collaboration,10656
2014,Elsevier,national-collaboration,922
2019,Non-Elsevier,deal-collaboration,19133
2018,Non-Elsevier,international-collaboration,13739
2016,Non-Elsevier,national-collaboration,3161
2019,Elsevier,deal-collaboration,5741
2016,Elsevier,deal-collaboration,6673
2020,Elsevier,deal-collaboration,5384
2018,Non-Elsevier,deal-collaboration,18678
2019,Elsevier,international-collaboration,3899
2017,Elsevier,international-collaboration,4045
2012,Elsevier,deal-collaboration,5785
2015,Elsevier,deal-collaboration,6568
2020,Non-Elsevier,international-collaboration,16763
2014,Non-Elsevier,deal-collaboration,18083
2020,Non-Elsevier,deal-collaboration,19899
2014,Non-Elsevier,national-collaboration,2652
2013,Elsevier,international-collaboration,3287
2014,Elsevier,deal-collaboration,6347
2018,Elsevier,national-collaboration,1045
2019,Non-Elsevier,national-collaboration,3683
2018,Elsevier,international-collaboration,4088
2015,Non-Elsevier,national-collaboration,2894
2012,Non-Elsevier,deal-collaboration,16999
2015,Non-Elsevier,deal-collaboration,18425
2012,Non-Elsevier,national-collaboration,2249
2014,Elsevier,international-collaboration,3544
2015,Non-Elsevier,international-collaboration,12339
2015,Elsevier,international-collaboration,3830
2016,Elsevier,international-collaboration,3886
2017,Non-Elsevier,national-collaboration,3310
2013,Non-Elsevier,national-collaboration,2431
2020,Non-Elsevier,national-collaboration,4225
2018,Non-Elsevier,national-collaboration,3521
2016,Elsevier,national-collaboration,1092
2012,Elsevier,national-collaboration,728
2015,Elsevier,national-collaboration,990
2013,Elsevier,national-collaboration,804
2017,Elsevier,national-collaboration,1056
