article_pubyear,publisher,n_refs,n_items
2015,Non-Elsevier,225145,36720
2013,Non-Elsevier,206585,32720
2016,Non-Elsevier,237865,38397
2018,Elsevier,80777,26685
2020,Non-Elsevier,293860,44452
2014,Non-Elsevier,215499,34912
2019,Non-Elsevier,245930,40256
2013,Elsevier,64816,22060
2018,Non-Elsevier,242755,39346
2019,Elsevier,80589,27058
2012,Non-Elsevier,197164,31511
2017,Non-Elsevier,242850,39236
2014,Elsevier,69073,23669
2015,Elsevier,73816,25016
2016,Elsevier,77542,26215
2020,Elsevier,93035,29619
2012,Elsevier,60336,21041
2017,Elsevier,78251,26682
