category_dimensions,category_name
01 Mathematical Sciences,Mathematical Sciences
02 Physical Sciences,Physical Sciences
03 Chemical Sciences,Chemical Sciences
04 Earth Sciences,Earth Sciences
05 Environmental Sciences,Environmental Sciences
06 Biological Sciences,Biological Sciences
07 Agricultural and Veterinary Sciences,Agricultural and Veterinary Sciences
08 Information and Computing Science,Information and Computing Science
09 Engineering,Engineering
10 Technology,Technology
11 Medical and Health Sciences,Medical and Health Sciences
12 Built Environment and Design,Built Environment and Design
13 Education,Education
14 Economics,Economics
"15 Commerce, Management, Tourism and Services","Commerce, Management, Tourism and Services"
16 Studies in Human Society,Studies in Human Society
17 Psychology and Cognitive Sciences,Psychology and Cognitive Sciences
18 Law and Legal Studies,Law and Legal Studies
19 Studies in Creative Arts and Writing,Studies in Creative Arts and Writing
"20 Language, Communication and Culture","Language, Communication and Culture"
21 History and Archaeology,History and Archaeology
22 Philosophy and Religious Studies,Philosophy and Religious Studies
